id	title	description
1	Prologue - Land of Waves	Twelve years after the village leader, Fourth Hokage, save the village from the Nine-Tail's attack, the new ninja academic's graduates form their own genin team. The hopeless fool, Naruto Uzumaki is placed in team 7 with the skill prodigy, Sasuke Uchiha and the clever kunoichi, Sakura Harano under the leadership of Kakashi Hatake. They works on their first mission which is to escort the client name Tazuna to the land of waves. On the way, they need to deal with S-rank criminals who trying to kill Tazuna.
2	Chunin Exams	One day, whilst playing with his juniors, Naruto meet three strange face ninjas from other village, and learn that they are in his village to participate in the Chunin Selection Exams. With the approval from their Jonins (highest rank ninja) team leader, all the genins (lowest rank ninja) can participate in this exam and if they pass it, they will promoted to chunin (middle rank ninja). Meanwhile, Kakashi, Asuma and Kurenai all volunteer their teams for the exam as well. Naruto is thrilled at the possibility of becoming a chunin.
3	Konoha Crush	The invasion happens in Konohakagure (Hidden Village of Leaf) after the betrayal of their alliance, Sunakagure (Hidden Village of Sand). Sunakagure ninja team up with Otokagure's ninja (Hidden Village of Sound) that lead by the S-rank criminal, Orochimaru, break into Konohakagure in the purpose of destroy the whole village. Meanwhile, Naruto and his genin comrades need to confront Garra, who is the destructive weapon to destroy Konohakagure.
4	Search for Tsunade	After the invasion, Another threat is coming toward the Konoha. Seeing the village isn't recovered to its fullest strength yet, the village elders make a proposal to one of the legendary sanin, Jiraiya, to lead the village. However, Jiraiya doesn't agree with it and he promise to bring someone is suitable for this position instead. That person is non rather than his legendary sanin comrade, Tsunade, but no one knows where she is now. Jiraiya brings Naruto along in his quest to search for Tsunade. However, the familair threat also approaches Tsunade which make the situation even worse for Jiraiya and Naruto's journey.
5	Sasuke Recovery Mission	Knowing that he still too far from his goal, Sasuke chooses to break the village's rule and leaves the village in order to train with Orochimaru. The Hokage can't stand with this and the Sasuke's recovery team is formed. Due to the unavailable of Jonin, Shikamaru Nara, who was just appointed as chunin is assigned to lead the recovery team consist of Naruto Uzumaki, Choji Akimichi, Kiba Inuzuka and Neji Hyuga. Knowing Sasuke is coming to him, Orochimaru sends his best jonin to escort and protect Sasuke. The encounter between the recovery team and the escort team happens along their way and the situation doesn't look good for the recovery team. Will they win their encounter and get Sasuke back to the village?
6	Kakashi Gaiden	A flashback story showing the former generation of Team 7 that consist of Kakashi Hatake, Obito Uchiha and Rin Nohara under the leadership of the future Fourth Hokage, Minato Namikaze in the period of the Third Shinobi World War. As the unavailablity of Jonin, Kakashi was promoted to Jonin so that he can leads Team 7 to paticipated in the ongoing war. Due to the lack of experience in fighting inside the war, the tragedy has happened to the young ninja team.
7	Kazekage Rescue Mission	Two and a half year after leaving the village for training, Naruto returns back to the village with Jiraiya. At that time, the organization called The Akatsuki which is the bigger threat than Orochimaru starts their movement to collect all the tail beasts' power. Deidara and Sasori are sent to Sunakagure to get the one tail beast from Garra. As the situation is getting worse, Sunakagure asks Konoha for a help. Tsunade sends Kakashi, Naruto and Sakura to assist the situation in Sunakagure. 
8	Tenchi Bridge Reconnaissance Mission	After learning about Orochimaru's hideout location, Naruto and Sakura want to go there and bring Sasuke back to the village. Due to the lack of team members, Tsunade asked Yamato, former Kakashi's ANBU comrade to fill Kakashi's spot and the mysterious ANBU name Sai who is recommended by one of the village's elder will fill the last spot in the team. Upon meeting with Orochimaru, Sai starts acting strange and abondon the mission in order to start his secret mission. Between stopping Sai from fulfilling his mission and fulfilling their mission to bring back Sasuke, Naruto and team need to pick one.
9	Akatsuki Suppression  Mission	Another duo from Akatsuki, Kakuzu and Hidan are on the move to capture another tail beast. Their next target is Nine-Tails Beast that was inside Naruto. As they don't want their trip to be wasted, they kill one temple's head monk who have the bounty in his head. Konoha is alerted about it and they start mobilized their jonin and chunin to help preventing the attack from the Akatsuki's duo. The jonin team meet up with the duo in front of the bounty station. After learning about it, Kakashi and Naruto who happen to train on their new jutsu join in the fight.
10	Itachi Pursuit Mission	As seeing the oppotunity to escape from Orochimaru, Sasuke confronts Orochimaru and kill him in the process. He then recruits many Orochimaru perfect experiment subjects include Tsuigetsu, Jugo and Karin to his team call Hebi. The team goal is to track down Itachi Uchiha so that Sasuke can get his revenge on him. The news of Orochimaru death and Sasuke tracking down Itachi spread quickly, so that The Konoha forms a team to prevent it and capture both Sasuke and Itachi back to the village. Along the way, they meet up with the annoyed Akatsuki's new member name Tobi and they need to win him in order to go forward. On the Akatsuki side, Deidara is furious with this news as he wish he is the one who kill Itachi someday. He then encounter with Sasuke and the battle break out between both of them.
11	Tale of Jiraiya the Gallant	Jiraiya informs Tsunade about the information that he's gathered about the Akatsuki and he assumes that the organization's base is in Amegakure (Hidden Village of Rain). After that, he goes on the solo mission to gather more information about the organization and their leader who is called Pain in Amegakure. Upon successfully infiltrate the village, Jiraiya was detected by Pain and was lured to his base. The battle between Jiraiya and Pain break out as Jiraiya seems to recognize Pain's real identity.
12	Fated Battle Between Brothers	Sasuke has sucessfully infiltrated Itachi hideout. Upon meeting up, both of them exchange every attacks that they have including genjutsu, taijutsu, ninjutsu and also forbiden jutsu. Who will come out with the victory and what is the cost of it?
13	Pain's Assult	Seeing their members start decreasing, The Akatsuki needs to collect all the remaining tail beasts as soon as possible. They then asked Sasuke's team for the help of capturing the eight-tails beast in Kumogakure (Hidden Village of Cloud) and Pain will go to Konoha to capture nine-tails beast inside Naruto. Naruto was send to Mount Myobuku to do his sage mode training at the time of Pain arrives at the village. Since he can't find Naruto inside the village and no one tells him where he is, he starts destroying the village. Will Naruto arrive to the village on time and help his village from destruction?
14	Five Kage Summit	The news of eight-tails beast was captured furious Raikage (Leader of Kumogakure) and he can't stand still seeing his brother was capture like this. He then issues the Five Kage Summit which is the summit where all the leader from the 5 great hidden villages' leaders discuss about the world issues. He blames Konoha for it and inform all the villages that he will handle Sasuke's case by his own. After hearing this news, Naruto confronts the Raikage and ask for his forgiveness on Sasuke's case. The Akatsuki happens to be inside the summit too and then they declare something that will changes the whole world.
15	Fourth Shinobi World War	After the declarion of the world war by the Akatsuki, all the 5 hidden village work together to deal with it. Seeing that their combined troops are still outnumbered by the Akatsuki, they decide to hide the remaining tail beasts by sending them away and not letting them to participate in the war. After knowing the war is already broke out, Naruto rushs into the battlefield. With the help of Naruto, the alliance troops easily overcome the Akatsuki troops. Seeing the situation is not looking good, the Akatsuki reveals their trump card which shaken the whole alliance troops and the world.
16	Birth of the Ten-Tails' Jinchuriki	In order to deal with the legendary Madara Uchiha, Orochimaru and Sasuke summons the former four hokages and join the fight. Seeing the fight is not looking so well for the Akatsuki, Tobi who later reveal to be the decease Obito Uchiha obsorb the ten-tails beast and becoming its inchuriki. Naruto and the four former hokages overcomes Obito and try to turns him against Madara. Madara attacks them and win easily. He then obsorb the ten-tails beast and become its new jinchuriki. After seeing no one left to stop him, he proceeds with his plan, Infinite Tsukoyomi.
17	Kaguya Otsutsuki Strikes	Madara is backstabbed by Black Zetsu! Another threat emerges and it is the mother of the shinobi's founder, Kaguya Otsutsuki. Her plan is to use the Infinite Tsukoyomi to obsorb everyone's chakra so that it will return her a Chakra Fruit which give her massive amount of Chakra. Only Team 7 is protected from the Infinite Tsukoyomi and their battle with Kaguya will decide the fate of the world.
18	The Last - Naruto the Movie	Set at 2 years after the Fourth Shinobi World War, another threat is coming to earth where the moon is falling out of the orbit and then, if nothing is done, it will break into part and fall onto earth. This is not a disaster that cause by the nature but by one shinobi that resident on the moon name Toneri Otsutsuki. In order to lay the disaster at the big scale, he kidnap many Hyuga clan member including Hinata's sister, Hanabi, to obtain their power. Naruto, Sakura, Sai, Shikamaru and Hinata are send to the moon to bring Hanabi back and also to stop Toneri's plan. After realizing Toneri's plan, Hinata joins Toneri side and make the situation even worse for the recuse team. Will they success on bringing back Hinata and Hanabi and also saving the world from its doom day?
